Gauge gauge_2 Location: X=1.02, Y=0.1
Time(s) dt(s) Depth(m) Elevation(m)
0.100000 0.100000 0.000012 -0.049738
0.102071 0.002071 0.000022 -0.049728
0.103814 0.001743 0.000022 -0.049728
0.105578 0.001764 0.000022 -0.049728
0.107338 0.001760 0.000022 -0.049728
0.109162 0.001824 0.000022 -0.049728
0.111081 0.001919 0.000022 -0.049728
0.113183 0.002101 0.000022 -0.049728
0.115577 0.002394 0.000022 -0.049728
0.118268 0.002691 0.000022 -0.049728
0.121265 0.002998 0.000022 -0.049728
0.124694 0.003428 0.000022 -0.049728
0.128732 0.004039 0.000022 -0.049728
0.133401 0.004668 0.000022 -0.049728
0.138787 0.005386 0.000022 -0.049728
0.144886 0.006099 0.000022 -0.049728
0.151838 0.006951 0.000023 -0.049727
0.159808 0.007970 0.000023 -0.049727
0.168759 0.008951 0.000023 -0.049727
0.178477 0.009718 0.000023 -0.049727
0.188856 0.010378 0.000024 -0.049726
0.199573 0.010717 0.000024 -0.049726
0.200000 0.000427 0.000024 -0.049726
0.210986 0.010986 0.000033 -0.049717
0.221287 0.010300 0.000034 -0.049716
0.232383 0.011096 0.000034 -0.049716
0.243509 0.011126 0.000035 -0.049715
0.254671 0.011162 0.000035 -0.049715
0.265879 0.011208 0.000036 -0.049714
0.277275 0.011396 0.000037 -0.049713
0.288928 0.011653 0.000037 -0.049713
0.300000 0.011072 0.000038 -0.049712
0.300000 0.000000 0.000038 -0.049712
0.312298 0.012298 0.000048 -0.049702
0.324112 0.011814 0.000048 -0.049702
0.337184 0.013071 0.000049 -0.049701
0.350600 0.013416 0.000050 -0.049700
0.364329 0.013729 0.000051 -0.049699
0.378177 0.013849 0.000053 -0.049697
0.392049 0.013872 0.000054 -0.049696
0.400000 0.007951 0.000054 -0.049696
0.400000 0.000000 0.000054 -0.049696
0.412988 0.012988 0.000064 -0.049686
0.422821 0.009834 0.000065 -0.049685
0.433562 0.010740 0.000066 -0.049684
0.444681 0.011119 0.000068 -0.049682
0.456317 0.011636 0.000069 -0.049681
0.467665 0.011349 0.000070 -0.049680
0.479623 0.011958 0.000072 -0.049678
0.491282 0.011659 0.000073 -0.049677
0.500000 0.008718 0.000074 -0.049676
0.500000 0.000000 0.000074 -0.049676
0.512043 0.012043 0.000084 -0.049666
0.521889 0.009846 0.000086 -0.049664
0.533249 0.011360 0.000087 -0.049663
0.544664 0.011415 0.000089 -0.049661
0.556064 0.011400 0.000090 -0.049660
0.567703 0.011639 0.000092 -0.049658
0.579422 0.011719 0.000094 -0.049656
0.591457 0.012036 0.000096 -0.049654
0.600000 0.008543 0.000097 -0.049653
0.600000 0.000000 0.000097 -0.049653
0.612673 0.012673 0.000108 -0.049642
0.622386 0.009712 0.000109 -0.049641
0.633991 0.011605 0.000112 -0.049638
0.645771 0.011780 0.000114 -0.049636
0.659189 0.013418 0.000116 -0.049634
0.671381 0.012192 0.000118 -0.049632
0.685523 0.014142 0.000121 -0.049629
0.698024 0.012501 0.000123 -0.049627
0.700000 0.001976 0.000124 -0.049626
0.714761 0.014761 0.000136 -0.049614
0.723457 0.008697 0.000138 -0.049612
0.733947 0.010490 0.000140 -0.049610
0.746074 0.012127 0.000142 -0.049608
0.759613 0.013538 0.000146 -0.049604
0.772360 0.012748 0.000148 -0.049602
0.787377 0.015016 0.000152 -0.049598
0.799685 0.012308 0.000155 -0.049595
0.800000 0.000315 0.000155 -0.049595
0.814553 0.014553 0.000167 -0.049583
0.823588 0.009035 0.000170 -0.049580
0.833983 0.010394 0.000172 -0.049578
0.845238 0.011256 0.000175 -0.049575
0.858550 0.013312 0.000179 -0.049571
0.870886 0.012336 0.000182 -0.049568
0.884794 0.013907 0.000186 -0.049564
0.897232 0.012438 0.000189 -0.049561
0.900000 0.002768 0.000190 -0.049560
0.914519 0.014519 0.000203 -0.049547
0.923489 0.008970 0.000206 -0.049544
0.933812 0.010324 0.000209 -0.049541
0.944843 0.011031 0.000212 -0.049538
0.957177 0.012335 0.000216 -0.049534
0.969551 0.012374 0.000220 -0.049530
0.982461 0.012910 0.000224 -0.049526
0.995045 0.012583 0.000228 -0.049522
1.000000 0.004955 0.000230 -0.049520
1.014073 0.014073 0.000244 -0.049506
1.023378 0.009305 0.000247 -0.049503
1.034314 0.010935 0.000250 -0.049500
1.045825 0.011512 0.000254 -0.049496
1.059040 0.013215 0.000259 -0.049491
1.071286 0.012245 0.000264 -0.049486
1.085396 0.014110 0.000269 -0.049481
1.097573 0.012178 0.000273 -0.049477
1.100000 0.002427 0.000274 -0.049476
1.114982 0.014982 0.000289 -0.049461
1.123685 0.008704 0.000292 -0.049458
1.133840 0.010155 0.000297 -0.049453
1.144826 0.010986 0.000301 -0.049449
1.157730 0.012904 0.000307 -0.049443
1.169608 0.011877 0.000312 -0.049438
1.183234 0.013627 0.000318 -0.049432
1.195404 0.012169 0.000323 -0.049427
1.200000 0.004596 0.000325 -0.049425
1.214353 0.014353 0.000341 -0.049409
1.223506 0.009153 0.000345 -0.049405
1.233986 0.010480 0.000350 -0.049400
1.245026 0.011040 0.000355 -0.049395
1.257888 0.012862 0.000361 -0.049389
1.269653 0.011765 0.000367 -0.049383
1.283155 0.013503 0.000374 -0.049376
1.294897 0.011742 0.000380 -0.049370
1.300000 0.005103 0.000382 -0.049368
1.313937 0.013937 0.000398 -0.049352
1.323281 0.009343 0.000403 -0.049347
1.333853 0.010572 0.000408 -0.049342
1.344768 0.010915 0.000414 -0.049336
