Gauge gauge_5 Location: X=3.0, Y=1.696
Time(s) dt(s) Depth(m) Elevation(m)
0.017486 0.017486 0.036261 -0.000001
0.034972 0.017486 0.036257 -0.000006
0.052459 0.017486 0.036248 -0.000014
0.069945 0.017486 0.036236 -0.000027
0.087431 0.017486 0.036219 -0.000044
0.104917 0.017486 0.036197 -0.000065
0.122403 0.017486 0.036172 -0.000091
0.139889 0.017486 0.036142 -0.000121
0.157375 0.017486 0.036108 -0.000155
0.174860 0.017485 0.036069 -0.000193
0.192345 0.017485 0.036028 -0.000234
0.209830 0.017485 0.035986 -0.000277
0.227314 0.017484 0.035948 -0.000315
0.244798 0.017484 0.035914 -0.000349
0.262282 0.017484 0.035886 -0.000376
0.279766 0.017484 0.035865 -0.000398
0.297249 0.017483 0.035850 -0.000412
0.314732 0.017483 0.035842 -0.000420
0.332215 0.017483 0.035840 -0.000423
0.349697 0.017483 0.035840 -0.000422
0.367180 0.017482 0.035844 -0.000418
0.384662 0.017482 0.035852 -0.000411
0.402144 0.017482 0.035862 -0.000400
0.419626 0.017482 0.035877 -0.000385
0.437107 0.017482 0.035896 -0.000367
0.454589 0.017482 0.035917 -0.000345
0.472071 0.017482 0.035942 -0.000321
0.489552 0.017482 0.035969 -0.000294
0.507034 0.017481 0.035997 -0.000266
0.524515 0.017481 0.036027 -0.000236
0.541996 0.017481 0.036057 -0.000206
0.559478 0.017481 0.036087 -0.000176
0.576959 0.017481 0.036116 -0.000146
0.594441 0.017481 0.036145 -0.000117
0.611922 0.017481 0.036174 -0.000089
0.629403 0.017481 0.036202 -0.000061
0.646885 0.017481 0.036229 -0.000033
0.664366 0.017481 0.036256 -0.000007
0.681848 0.017481 0.036281 0.000019
0.699329 0.017482 0.036305 0.000042
0.716811 0.017482 0.036328 0.000065
0.734292 0.017482 0.036350 0.000087
0.751774 0.017482 0.036370 0.000108
0.769256 0.017482 0.036389 0.000126
0.786738 0.017482 0.036405 0.000142
0.804220 0.017482 0.036419 0.000156
0.821702 0.017482 0.036431 0.000168
0.839184 0.017482 0.036440 0.000177
0.856666 0.017482 0.036447 0.000184
0.874148 0.017482 0.036451 0.000188
0.891630 0.017482 0.036453 0.000191
0.909113 0.017482 0.036453 0.000191
0.926595 0.017482 0.036451 0.000188
0.944077 0.017482 0.036447 0.000184
0.961560 0.017483 0.036441 0.000179
0.979043 0.017483 0.036435 0.000172
0.996525 0.017483 0.036427 0.000164
1.014008 0.017483 0.036419 0.000156
1.031491 0.017483 0.036410 0.000147
1.048973 0.017483 0.036401 0.000138
1.066456 0.017483 0.036391 0.000129
1.083939 0.017483 0.036381 0.000119
1.101422 0.017483 0.036371 0.000109
1.118905 0.017483 0.036360 0.000098
1.136388 0.017483 0.036349 0.000086
1.153870 0.017483 0.036338 0.000075
1.171353 0.017483 0.036327 0.000065
1.188836 0.017483 0.036317 0.000054
1.206319 0.017483 0.036307 0.000044
1.223802 0.017483 0.036298 0.000035
1.241284 0.017483 0.036289 0.000026
1.258767 0.017483 0.036280 0.000018
1.276250 0.017483 0.036272 0.000009
1.293732 0.017483 0.036264 0.000002
1.311215 0.017483 0.036257 -0.000006
1.328697 0.017482 0.036250 -0.000013
1.346180 0.017482 0.036244 -0.000019
1.363662 0.017482 0.036239 -0.000024
1.381144 0.017482 0.036234 -0.000029
1.398627 0.017482 0.036230 -0.000033
1.416109 0.017482 0.036227 -0.000036
1.433591 0.017482 0.036224 -0.000039
1.451073 0.017482 0.036222 -0.000041
1.468555 0.017482 0.036220 -0.000043
1.486037 0.017482 0.036218 -0.000045
1.503519 0.017482 0.036217 -0.000046
1.521001 0.017482 0.036216 -0.000047
1.538482 0.017482 0.036215 -0.000048
1.555964 0.017482 0.036214 -0.000048
1.573446 0.017482 0.036214 -0.000048
1.590927 0.017482 0.036214 -0.000048
1.608409 0.017481 0.036215 -0.000048
1.625890 0.017481 0.036215 -0.000047
1.643371 0.017481 0.036216 -0.000047
1.660852 0.017481 0.036217 -0.000046
1.678333 0.017481 0.036218 -0.000045
1.695814 0.017481 0.036219 -0.000044
1.713295 0.017481 0.036220 -0.000043
1.730776 0.017481 0.036221 -0.000041
1.748257 0.017481 0.036223 -0.000040
1.765738 0.017481 0.036224 -0.000038
1.783218 0.017481 0.036226 -0.000036
1.800699 0.017480 0.036228 -0.000035
1.818179 0.017480 0.036229 -0.000033
1.835659 0.017480 0.036231 -0.000032
1.853139 0.017480 0.036233 -0.000030
1.870620 0.017480 0.036234 -0.000028
1.888100 0.017480 0.036236 -0.000027
1.905579 0.017480 0.036237 -0.000025
1.923059 0.017480 0.036239 -0.000024
1.940539 0.017480 0.036240 -0.000023
1.958019 0.017480 0.036241 -0.000022
1.975498 0.017480 0.036242 -0.000021
1.992978 0.017480 0.036243 -0.000020
2.010457 0.017480 0.036244 -0.000019
2.027937 0.017479 0.036244 -0.000018
2.045416 0.017479 0.036245 -0.000018
2.062896 0.017479 0.036245 -0.000017
2.080375 0.017479 0.036245 -0.000017
2.097855 0.017479 0.036246 -0.000017
2.115334 0.017479 0.036246 -0.000017
2.132813 0.017479 0.036246 -0.000017
2.150293 0.017479 0.036246 -0.000017
2.167772 0.017479 0.036246 -0.000017
2.185252 0.017479 0.036246 -0.000017
2.202731 0.017480 0.036246 -0.000017
2.220211 0.017480 0.036246 -0.000017
2.237691 0.017480 0.036245 -0.000017
2.255170 0.017480 0.036245 -0.000017
2.272650 0.017480 0.036245 -0.000017
2.290131 0.017480 0.036246 -0.000017
2.307611 0.017480 0.036246 -0.000017
2.325092 0.017481 0.036246 -0.000017
2.342572 0.017481 0.036246 -0.000017
2.360053 0.017481 0.036246 -0.000017
2.377535 0.017481 0.036246 -0.000016
2.395017 0.017482 0.036247 -0.000016
2.412499 0.017482 0.036247 -0.000016
2.429981 0.017482 0.036247 -0.000016
2.447464 0.017483 0.036247 -0.000015
2.464948 0.017483 0.036247 -0.000015
2.482431 0.017484 0.036247 -0.000015
2.499916 0.017484 0.036248 -0.000015
2.517401 0.017485 0.036248 -0.000015
2.534886 0.017485 0.036248 -0.000015
2.552371 0.017485 0.036248 -0.000015
2.569857 0.017485 0.036247 -0.000015
2.587342 0.017485 0.036247 -0.000015
2.604827 0.017485 0.036247 -0.000015
2.622313 0.017485 0.036247 -0.000016
2.639798 0.017485 0.036247 -0.000016
2.657283 0.017485 0.036247 -0.000016
2.674768 0.017485 0.036246 -0.000016
2.692253 0.017485 0.036246 -0.000016
2.709739 0.017485 0.036246 -0.000017
2.727224 0.017485 0.036246 -0.000017
2.744709 0.017485 0.036245 -0.000017
2.762194 0.017485 0.036245 -0.000017
