Gauge 0 Location: X=500.0, Y=300.0
Time(s) Depth(m) Elevation(m)
0.000 0.000 0.055
10.000 0.000 0.055
20.000 0.000 0.055
30.000 0.000 0.055
40.000 0.000 0.055
50.000 0.000 0.055
60.000 0.000 0.055
70.000 0.000 0.055
80.000 0.000 0.055
90.000 0.000 0.055
100.000 0.000 0.055
110.000 0.000 0.055
120.000 0.000 0.055
130.000 0.000 0.055
140.000 0.000 0.055
150.000 0.000 0.055
160.000 0.000 0.055
170.000 0.000 0.055
180.000 0.000 0.055
190.000 0.000 0.055
200.000 0.000 0.055
210.000 0.000 0.055
220.000 0.000 0.055
230.000 0.000 0.055
240.000 0.000 0.055
250.000 0.000 0.055
260.000 0.000 0.055
270.000 0.000 0.055
280.000 0.000 0.055
290.000 0.000 0.055
300.000 0.000 0.055
310.000 0.000 0.055
320.000 0.000 0.055
330.000 0.000 0.055
340.000 0.000 0.055
350.000 0.000 0.055
360.000 0.000 0.055
370.000 0.000 0.055
380.000 0.000 0.055
390.000 0.000 0.055
400.000 0.000 0.055
410.000 0.000 0.055
420.000 0.000 0.055
430.000 0.000 0.055
440.000 0.000 0.055
450.000 0.000 0.055
460.000 0.000 0.055
470.000 0.000 0.055
480.000 0.000 0.055
490.000 0.000 0.055
500.000 0.000 0.055
510.000 0.000 0.055
520.000 0.000 0.055
530.000 0.000 0.055
540.000 0.000 0.055
550.000 0.000 0.055
560.000 0.000 0.055
570.000 0.000 0.055
580.000 0.000 0.055
590.000 0.000 0.055
600.000 0.000 0.055
610.000 0.000 0.055
620.000 0.000 0.055
630.000 0.000 0.055
640.000 0.000 0.055
650.000 0.000 0.055
660.000 0.000 0.055
670.000 0.000 0.055
680.000 0.000 0.055
690.000 0.000 0.055
700.000 0.000 0.055
710.000 0.000 0.055
720.000 0.000 0.055
730.000 0.000 0.055
740.000 0.000 0.055
750.000 0.000 0.055
760.000 0.000 0.055
770.000 0.000 0.055
780.000 0.000 0.055
790.000 0.000 0.055
800.000 0.000 0.055
810.000 0.000 0.055
820.000 0.000 0.055
830.000 0.000 0.055
840.000 0.000 0.055
850.000 0.000 0.055
860.000 0.000 0.055
870.000 0.000 0.055
880.000 0.000 0.055
890.000 0.000 0.055
900.000 0.000 0.055
910.000 0.000 0.055
920.000 0.000 0.055
930.000 0.000 0.055
940.000 0.000 0.055
950.000 0.000 0.055
960.000 0.000 0.055
970.000 0.000 0.055
980.000 0.000 0.055
990.000 0.000 0.055
1000.000 0.000 0.055
1010.000 0.000 0.055
1020.000 0.000 0.055
1030.000 0.000 0.055
1040.000 0.000 0.055
1050.000 0.000 0.055
1060.000 0.000 0.055
1070.000 0.000 0.055
1080.000 0.000 0.055
1090.000 0.000 0.055
1100.000 0.000 0.055
1110.000 0.000 0.055
1120.000 0.000 0.055
1130.000 0.000 0.055
1140.000 0.000 0.055
1150.000 0.000 0.055
1160.000 0.000 0.055
1170.000 0.000 0.055
1180.000 0.000 0.055
1190.000 0.000 0.055
1200.000 0.000 0.055
1210.000 0.000 0.055
1220.000 0.000 0.055
1230.000 0.000 0.055
1240.000 0.000 0.055
1250.000 0.000 0.055
1260.000 0.000 0.055
1270.000 0.000 0.055
1280.000 0.000 0.055
1290.000 0.000 0.055
1300.000 0.000 0.055
1310.000 0.000 0.055
1320.000 0.000 0.055
1330.000 0.000 0.055
1340.000 0.000 0.055
1350.000 0.000 0.055
1360.000 0.000 0.055
1370.000 0.000 0.055
1380.000 0.000 0.055
1390.000 0.000 0.055
1400.000 0.000 0.055
1410.000 0.000 0.055
1420.000 0.000 0.055
1430.000 0.000 0.055
1440.000 0.000 0.055
1450.000 0.000 0.055
1460.000 0.000 0.055
1470.000 0.000 0.055
1480.000 0.000 0.055
1490.000 0.000 0.055
1500.000 0.000 0.055
1510.000 0.000 0.055
1520.000 0.000 0.055
1530.000 0.000 0.055
1540.000 0.000 0.055
1550.000 0.000 0.055
1560.000 0.000 0.055
1570.000 0.000 0.055
1580.000 0.000 0.055
1590.000 0.000 0.055
1600.000 0.000 0.055
1610.000 0.000 0.055
1620.000 0.000 0.055
1630.000 0.000 0.055
1640.000 0.000 0.055
1650.000 0.000 0.055
1660.000 0.000 0.055
1670.000 0.000 0.055
1680.000 0.000 0.055
1690.000 0.000 0.055
1700.000 0.000 0.055
1710.000 0.000 0.055
1720.000 0.000 0.055
1730.000 0.000 0.055
1740.000 0.000 0.055
1750.000 0.000 0.055
1760.000 0.000 0.055
1770.000 0.000 0.055
1780.000 0.000 0.055
1790.000 0.000 0.055
1800.000 0.000 0.055
1810.000 0.000 0.055
1820.000 0.000 0.055
1830.000 0.000 0.055
1840.000 0.000 0.055
1850.000 0.000 0.055
1860.000 0.000 0.055
1870.000 0.000 0.055
1880.000 0.000 0.055
1890.000 0.000 0.055
1900.000 0.000 0.055
1910.000 0.000 0.055
1920.000 0.000 0.055
1930.000 0.000 0.055
1940.000 0.000 0.055
1950.000 0.000 0.055
1960.000 0.000 0.055
1970.000 0.000 0.055
1980.000 0.000 0.055
1990.000 0.000 0.055
2000.000 0.000 0.055
2010.000 0.000 0.055
2020.000 0.000 0.055
2030.000 0.000 0.055
2040.000 0.000 0.055
