# time_s gauge_0_train_simulated gauge_0_train_observed gauge_1_train_simulated gauge_1_train_observed gauge_2_test_simulated gauge_2_test_observed
2.0000000000e-01 -2.1216535473e-12 2.3400000000e-03 -7.7883497106e-06 5.5000000000e-04 -8.3527433225e-09 1.0500000000e-03
4.0000000000e-01 -1.4721823725e-09 2.3400000000e-03 -2.2168907806e-05 7.5000000000e-04 -2.0832144132e-07 1.0500000000e-03
6.0000000000e-01 -6.4626437559e-08 2.3400000000e-03 -3.5985562536e-05 6.5000000000e-04 -1.4416753061e-06 1.1500000000e-03
8.0000000000e-01 -1.0093441328e-06 2.3400000000e-03 -4.8421482602e-05 7.5000000000e-04 -6.0624267697e-06 1.1500000000e-03
1.0000000000e+00 -8.7524881409e-06 2.3400000000e-03 -5.7480517326e-05 6.5000000000e-04 -1.8450998910e-05 1.2500000000e-03
1.2000000000e+00 -3.5886553856e-05 2.4400000000e-03 -6.0428679662e-05 7.5000000000e-04 -3.1596702521e-05 1.4500000000e-03
1.4000000000e+00 -6.8919726834e-05 2.5400000000e-03 -5.8862425911e-05 7.5000000000e-04 -3.8975006720e-05 1.4500000000e-03
1.6000000000e+00 -8.4099670930e-05 2.5400000000e-03 -5.3985867214e-05 7.5000000000e-04 -4.1865214486e-05 1.4500000000e-03
1.8000000000e+00 -7.4296867989e-05 2.6400000000e-03 -4.5241187656e-05 7.5000000000e-04 -3.9244689274e-05 1.4500000000e-03
2.0000000000e+00 -5.6149840786e-05 2.6400000000e-03 -3.4634444890e-05 4.5000000000e-04 -2.0715811194e-05 1.5500000000e-03
2.2000000000e+00 -2.6466600766e-05 2.8400000000e-03 -2.4121981028e-05 7.5000000000e-04 9.9554929307e-06 1.5500000000e-03
2.4000000000e+00 -6.0402179853e-06 2.9400000000e-03 -1.4791480831e-05 9.5000000000e-04 2.7795986938e-05 1.5500000000e-03
2.6000000000e+00 1.3198861197e-06 3.1400000000e-03 -7.6906876577e-06 9.5000000000e-04 3.0091541820e-05 1.7500000000e-03
2.8000000000e+00 8.3088329962e-06 3.2400000000e-03 -2.7832935883e-06 2.3500000000e-03 2.4220137313e-05 1.8500000000e-03
3.0000000000e+00 2.3676103049e-05 4.0400000000e-03 -5.4831827670e-07 3.3500000000e-03 1.3147662012e-05 1.6500000000e-03
3.2000000000e+00 4.4118865309e-05 4.3400000000e-03 -8.8818383928e-07 3.3500000000e-03 -3.5893980462e-06 1.6500000000e-03
3.4000000000e+00 5.3729134877e-05 4.2400000000e-03 -2.5041379151e-06 3.3500000000e-03 -1.7830309779e-05 1.7500000000e-03
3.6000000000e+00 5.4722828674e-05 4.2400000000e-03 -3.1550408698e-06 3.5500000000e-03 -2.0903698035e-05 2.5500000000e-03
3.8000000000e+00 4.9669835049e-05 4.7400000000e-03 -1.2499390064e-06 3.6500000000e-03 -1.1868523928e-05 2.8500000000e-03
4.0000000000e+00 3.9768798720e-05 4.9400000000e-03 4.0789422545e-06 3.5500000000e-03 7.7478694982e-07 2.9500000000e-03
4.2000000000e+00 2.8951482087e-05 4.8400000000e-03 1.3357771021e-05 3.6500000000e-03 1.0883474185e-05 3.0500000000e-03
4.4000000000e+00 1.9757265475e-05 4.9400000000e-03 2.4529551829e-05 3.6500000000e-03 1.7990406469e-05 3.1500000000e-03
4.6000000000e+00 1.1397532534e-05 5.0400000000e-03 3.5860004959e-05 3.7500000000e-03 2.2799373582e-05 3.7500000000e-03
4.8000000000e+00 -3.9494246165e-07 5.1400000000e-03 4.4459249818e-05 4.2500000000e-03 2.8310375795e-05 3.5500000000e-03
5.0000000000e+00 -4.9721789432e-05 5.1400000000e-03 4.9037174325e-05 4.6500000000e-03 3.4995436801e-05 3.5500000000e-03
5.2000000000e+00 -1.4494670396e-04 5.0400000000e-03 4.8917321753e-05 4.9500000000e-03 4.3151744228e-05 3.7500000000e-03
5.4000000000e+00 1.3208415664e-05 4.8400000000e-03 4.4853033071e-05 4.9500000000e-03 4.9335772317e-05 3.8500000000e-03
5.6000000000e+00 1.8236866261e-03 4.7400000000e-03 3.7481504491e-05 5.0500000000e-03 5.1231229785e-05 3.9500000000e-03
5.8000000000e+00 3.5939212927e-03 4.5400000000e-03 2.1022582233e-05 4.9500000000e-03 6.0132330381e-05 4.0500000000e-03
6.0000000000e+00 4.0227318266e-03 4.3400000000e-03 3.2675347109e-06 4.7500000000e-03 2.1268215559e-04 3.9500000000e-03
6.2000000000e+00 3.6977723512e-03 4.2400000000e-03 8.1103475993e-05 4.4500000000e-03 1.5510480417e-03 4.0500000000e-03
6.4000000000e+00 2.9678985618e-03 4.1400000000e-03 1.1779995385e-03 4.2500000000e-03 3.5166697808e-03 3.9500000000e-03
6.6000000000e+00 2.3098995743e-03 4.2400000000e-03 3.1454118178e-03 4.0500000000e-03 4.5130390712e-03 3.8500000000e-03
6.8000000000e+00 1.7705167269e-03 4.1400000000e-03 4.3082153881e-03 3.9500000000e-03 4.4561918090e-03 3.7500000000e-03
7.0000000000e+00 1.3963478808e-03 4.0400000000e-03 4.7644562135e-03 3.0500000000e-03 4.2580014817e-03 3.6500000000e-03
7.2000000000e+00 1.1907599599e-03 4.2400000000e-03 4.6620257798e-03 2.6500000000e-03 4.1394682652e-03 3.6500000000e-03
7.4000000000e+00 1.1099312497e-03 4.3400000000e-03 3.9840353414e-03 2.7500000000e-03 3.9645655285e-03 3.5500000000e-03
7.6000000000e+00 1.1310863624e-03 4.0400000000e-03 3.3387217441e-03 2.9500000000e-03 3.7445062901e-03 3.4500000000e-03
7.8000000000e+00 1.2315012010e-03 3.7400000000e-03 2.8847165539e-03 3.6500000000e-03 3.5563838254e-03 3.4500000000e-03
8.0000000000e+00 1.3373709800e-03 3.6400000000e-03 2.5856408355e-03 3.7500000000e-03 3.5226183085e-03 3.0500000000e-03
8.2000000000e+00 1.3968193258e-03 3.5400000000e-03 2.4314605900e-03 3.5500000000e-03 3.3506900798e-03 2.6500000000e-03
8.4000000000e+00 1.4410919492e-03 3.5400000000e-03 2.4977905377e-03 3.6500000000e-03 3.1325067466e-03 2.1500000000e-03
8.6000000000e+00 1.5331858148e-03 3.3400000000e-03 2.6713483128e-03 3.6500000000e-03 2.8804718418e-03 2.0500000000e-03
8.8000000000e+00 1.7290916030e-03 2.8400000000e-03 2.6787294373e-03 2.8500000000e-03 2.7878470061e-03 1.9500000000e-03
9.0000000000e+00 1.9570542043e-03 2.7400000000e-03 2.3467236433e-03 2.6500000000e-03 3.0167125482e-03 1.7500000000e-03
9.2000000000e+00 1.9610248990e-03 2.5400000000e-03 1.8592061312e-03 2.5500000000e-03 2.9665378460e-03 1.6500000000e-03
9.4000000000e+00 1.5582289482e-03 2.5400000000e-03 1.4222827150e-03 2.1500000000e-03 2.2943339062e-03 1.5500000000e-03
9.6000000000e+00 7.8799100729e-04 1.6400000000e-03 1.1085141689e-03 9.5000000000e-04 1.3942106473e-03 1.4500000000e-03
9.8000000000e+00 5.5832577122e-05 1.3400000000e-03 8.7309607571e-04 1.5000000000e-04 5.6120515617e-04 1.4500000000e-03
1.0000000000e+01 -4.3719290031e-04 -6.6000000000e-04 6.0526386067e-04 -1.5000000000e-04 -8.4549579736e-05 1.2500000000e-03
1.0200000000e+01 -6.2011500418e-04 -1.9600000000e-03 2.7462233152e-04 -7.5000000000e-04 -5.5577573072e-04 1.1500000000e-03
1.0400000000e+01 -8.3055629104e-04 -2.6600000000e-03 -7.4909297775e-05 -1.8500000000e-03 -8.5351290090e-04 1.1500000000e-03
1.0600000000e+01 -1.3648911299e-03 -2.9600000000e-03 -4.1614822437e-04 -2.0500000000e-03 -1.0801061793e-03 1.2500000000e-03
1.0800000000e+01 -2.0493302159e-03 -3.8600000000e-03 -7.2375005196e-04 -2.1500000000e-03 -1.2797133652e-03 1.1500000000e-03
1.1000000000e+01 -2.6768780323e-03 -4.3600000000e-03 -9.8923004075e-04 -2.3500000000e-03 -1.5010887560e-03 8.5000000000e-04
1.1200000000e+01 -3.2313278040e-03 -4.8600000000e-03 -1.2102305670e-03 -2.4500000000e-03 -1.8007818773e-03 3.5000000000e-04
1.1400000000e+01 -3.7530005064e-03 -4.9600000000e-03 -1.3944363871e-03 -2.4500000000e-03 -2.1279234035e-03 1.5000000000e-04
1.1600000000e+01 -4.2885887392e-03 -5.1600000000e-03 -1.5496609943e-03 -2.6500000000e-03 -2.4699269682e-03 5.0000000000e-05
1.1800000000e+01 -4.8722806390e-03 -5.5600000000e-03 -1.6769273812e-03 -2.8500000000e-03 -2.8477099753e-03 -2.5000000000e-04
1.2000000000e+01 -5.5155762219e-03 -5.9600000000e-03 -1.7690899049e-03 -3.2500000000e-03 -3.2645581157e-03 -7.5000000000e-04
1.2200000000e+01 -6.2045457897e-03 -6.3600000000e-03 -1.8120310008e-03 -3.7500000000e-03 -3.7093838585e-03 -1.1500000000e-03
1.2400000000e+01 -6.9494851978e-03 -6.5600000000e-03 -1.8038732019e-03 -4.0500000000e-03 -4.1211726929e-03 -1.4500000000e-03
1.2600000000e+01 -7.7133365751e-03 -7.1600000000e-03 -1.7853579113e-03 -4.3500000000e-03 -4.4492377081e-03 -1.6500000000e-03
1.2800000000e+01 -8.4357226074e-03 -7.4600000000e-03 -1.7872455152e-03 -4.5500000000e-03 -4.6991361975e-03 -1.9500000000e-03
