# epoch total_loss train_loss test_loss first_derivative second_derivative amplitude gradient_norm learning_rate elapsed_seconds
1.0000000000e+00 1.3194461557e-04 1.3194461557e-04 1.1515386535e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 2.1159977151e-04 2.0000000000e-02 8.6093930870e+01
2.0000000000e+00 1.2003165936e-04 1.2003165892e-04 1.0417427254e-04 3.0676662458e-10 7.1700155491e-12 6.0762679226e-08 1.8574940828e-04 2.0000000000e-02 8.5299348502e+01
3.0000000000e+00 1.1021050232e-04 1.1021050065e-04 9.5617169825e-05 1.1760266414e-09 2.6673372545e-11 2.3395946287e-07 1.6868572468e-04 2.0000000000e-02 8.6787264296e+01
4.0000000000e+00 1.0189074514e-04 1.0189074158e-04 8.8732371562e-05 2.5104699733e-09 5.4866608620e-11 5.0380699093e-07 1.5791285885e-04 2.0000000000e-02 8.6237052328e+01
5.0000000000e+00 9.4446643670e-05 9.4446637705e-05 8.2882141887e-05 4.2230690746e-09 8.8491811605e-11 8.5643199752e-07 1.4938541575e-04 2.0000000000e-02 8.6557028995e+01
6.0000000000e+00 8.7704083909e-05 8.7704075086e-05 7.7461709863e-05 6.2756934258e-09 1.2658343658e-10 1.2814572009e-06 1.4033857595e-04 2.0000000000e-02 8.8081149836e+01
7.0000000000e+00 8.1706215874e-05 8.1706203762e-05 7.2334920171e-05 8.6503446197e-09 1.6928430424e-10 1.7691465442e-06 1.3105142050e-04 2.0000000000e-02 8.7616214618e+01
8.0000000000e+00 7.6485675682e-05 7.6485659888e-05 6.7467647346e-05 1.1319678865e-08 2.1671245620e-10 2.3068404605e-06 1.2221862836e-04 2.0000000000e-02 8.6853756974e+01
9.0000000000e+00 7.1928910937e-05 7.1928891126e-05 6.2863559287e-05 1.4245445354e-08 2.6851634747e-10 2.8808547585e-06 1.1488028673e-04 2.0000000000e-02 8.8155531745e+01
1.0000000000e+01 6.7858031057e-05 6.7858006962e-05 5.8567723983e-05 1.7379887171e-08 3.2372635949e-10 3.4781851755e-06 1.0918255476e-04 2.0000000000e-02 8.7933897918e+01
1.1000000000e+01 6.4102916717e-05 6.4102888115e-05 5.4604274042e-05 2.0694615169e-08 3.8166448113e-10 4.0906765241e-06 1.0431583685e-04 2.0000000000e-02 8.7535187350e+01
1.2000000000e+01 6.0598434880e-05 6.0598401577e-05 5.0952318851e-05 2.4172491132e-08 4.4179731699e-10 4.7128482201e-06 9.9690345470e-05 2.0000000000e-02 8.7892443001e+01
1.3000000000e+01 5.7307514424e-05 5.7307476249e-05 4.7589002730e-05 2.7797960466e-08 5.0368713144e-10 5.3399556588e-06 9.5230050975e-05 2.0000000000e-02 8.7072786714e+01
1.4000000000e+01 5.4193419686e-05 5.4193376484e-05 4.4484544809e-05 3.1562042902e-08 5.6708107355e-10 5.9690640259e-06 9.1019543856e-05 2.0000000000e-02 8.7384251466e+01
1.5000000000e+01 5.1245154765e-05 5.1245106382e-05 4.1609920560e-05 3.5464937444e-08 6.3198169506e-10 6.5985440033e-06 8.6878659546e-05 2.0000000000e-02 8.7857068375e+01
1.6000000000e+01 4.8444162787e-05 4.8444109070e-05 3.8947827453e-05 3.9505685376e-08 6.9849848938e-10 7.2266841068e-06 8.3379142217e-05 2.0000000000e-02 8.7369329601e+01
1.7000000000e+01 4.5767990194e-05 4.5767930977e-05 3.6481782172e-05 4.3693011984e-08 7.6709234803e-10 7.8528566305e-06 7.9831653913e-05 2.0000000000e-02 8.7716911356e+01
1.8000000000e+01 4.3216268609e-05 4.3216203712e-05 3.4198773447e-05 4.8037041046e-08 8.3833576461e-10 8.4768206879e-06 7.6562761141e-05 2.0000000000e-02 8.7308000518e+01
1.9000000000e+01 4.0773699721e-05 4.0773628944e-05 3.2085620930e-05 5.2549574834e-08 9.1289160600e-10 9.0988795205e-06 7.3338669939e-05 2.0000000000e-02 8.7702705109e+01
2.0000000000e+01 3.8446343396e-05 3.8446266519e-05 3.0131515225e-05 5.7243229365e-08 9.9140164682e-10 9.7200176814e-06 7.0236145910e-05 2.0000000000e-02 8.7567314874e+01
