# time_s boundary_water_level_m
2.0000000000e-01 6.4063725545e-03
4.0000000000e-01 4.3671698295e-03
6.0000000000e-01 2.8301919324e-03
8.0000000000e-01 1.7267311210e-03
1.0000000000e+00 9.8807965360e-04
1.2000000000e+00 5.4552978811e-04
1.4000000000e+00 3.3037378264e-04
1.6000000000e+00 2.7390389525e-04
1.8000000000e+00 3.0741238400e-04
2.0000000000e+00 3.6245423030e-04
2.2000000000e+00 3.9191334800e-04
2.4000000000e+00 3.8540657885e-04
2.6000000000e+00 3.3618265217e-04
2.8000000000e+00 2.3749029729e-04
3.0000000000e+00 8.2578243523e-05
3.2000000000e+00 -1.3530477979e-04
3.4000000000e+00 -4.2291004332e-04
3.6000000000e+00 -7.8698881776e-04
3.8000000000e+00 -1.2331545679e-03
4.0000000000e+00 -1.7491765503e-03
4.2000000000e+00 -2.3086560633e-03
4.4000000000e+00 -2.8848041381e-03
4.6000000000e+00 -3.4508318058e-03
4.8000000000e+00 -3.9799500975e-03
5.0000000000e+00 -4.4453700442e-03
5.2000000000e+00 -4.8203026772e-03
5.4000000000e+00 -5.0779590274e-03
5.6000000000e+00 -5.1963354819e-03
5.8000000000e+00 -5.1807482014e-03
6.0000000000e+00 -5.0461932353e-03
6.2000000000e+00 -4.8076779759e-03
6.4000000000e+00 -4.4802098159e-03
6.6000000000e+00 -4.0787961476e-03
6.8000000000e+00 -3.6184443635e-03
7.0000000000e+00 -3.1141618560e-03
7.2000000000e+00 -2.5809375114e-03
7.4000000000e+00 -2.0283508789e-03
7.6000000000e+00 -1.4530853257e-03
7.8000000000e+00 -8.4994342588e-04
8.0000000000e+00 -2.1372775323e-04
8.2000000000e+00 4.6075911826e-04
8.4000000000e+00 1.1787146146e-03
8.6000000000e+00 1.9453361620e-03
8.8000000000e+00 2.7658211863e-03
9.0000000000e+00 3.6449789855e-03
9.2000000000e+00 4.5773266393e-03
9.4000000000e+00 5.5462680268e-03
9.6000000000e+00 6.5346543997e-03
9.8000000000e+00 7.5253370094e-03
1.0000000000e+01 8.5011671075e-03
1.0200000000e+01 9.4449959456e-03
1.0400000000e+01 1.0339674775e-02
1.0600000000e+01 1.1168054847e-02
1.0800000000e+01 1.1914328021e-02
1.1000000000e+01 1.2573799087e-02
1.1200000000e+01 1.3147267676e-02
1.1400000000e+01 1.3635572471e-02
1.1600000000e+01 1.4039552155e-02
1.1800000000e+01 1.4360045410e-02
1.2000000000e+01 1.4597890918e-02
1.2200000000e+01 1.4753927364e-02
1.2400000000e+01 1.4828992630e-02
1.2600000000e+01 1.4819271351e-02
1.2800000000e+01 1.4705336461e-02
1.3000000000e+01 1.4464490524e-02
1.3200000000e+01 1.4074036104e-02
1.3400000000e+01 1.3511275766e-02
1.3600000000e+01 1.2753512073e-02
1.3800000000e+01 1.1778047590e-02
1.4000000000e+01 1.0562184882e-02
1.4200000000e+01 9.0839326608e-03
1.4400000000e+01 7.3582514828e-03
1.4600000000e+01 5.4544622726e-03
1.4800000000e+01 3.4462372690e-03
1.5000000000e+01 1.4072487108e-03
1.5200000000e+01 -5.8883116321e-04
1.5400000000e+01 -2.4683301143e-03
1.5600000000e+01 -4.1575759037e-03
1.5800000000e+01 -5.5828962926e-03
1.6000000000e+01 -6.6759150616e-03
1.6200000000e+01 -7.4344184332e-03
1.6400000000e+01 -7.9011670153e-03
1.6600000000e+01 -8.1197808750e-03
1.6800000000e+01 -8.1338800792e-03
1.7000000000e+01 -7.9870846951e-03
1.7200000000e+01 -7.7230147897e-03
1.7400000000e+01 -7.3852904302e-03
1.7600000000e+01 -7.0175316835e-03
1.7800000000e+01 -6.6574353986e-03
1.8000000000e+01 -6.3144228670e-03
1.8200000000e+01 -5.9894875200e-03
1.8400000000e+01 -5.6836213427e-03
1.8600000000e+01 -5.3978163206e-03
1.8800000000e+01 -5.1330644387e-03
1.9000000000e+01 -4.8903576822e-03
1.9200000000e+01 -4.6706880365e-03
1.9400000000e+01 -4.4750402648e-03
1.9600000000e+01 -4.3033830017e-03
1.9800000000e+01 -4.1536298295e-03
2.0000000000e+01 -4.0234464201e-03
2.0200000000e+01 -3.9104984454e-03
2.0400000000e+01 -3.8124515771e-03
2.0600000000e+01 -3.7269714872e-03
2.0800000000e+01 -3.6517238473e-03
2.1000000000e+01 -3.5843743293e-03
2.1200000000e+01 -3.5226281067e-03
2.1400000000e+01 -3.4649847184e-03
2.1600000000e+01 -3.4106793857e-03
2.1800000000e+01 -3.3589750731e-03
2.2000000000e+01 -3.3091347453e-03
2.2200000000e+01 -3.2604213666e-03
2.2400000000e+01 -3.2120979016e-03
2.2600000000e+01 -3.1634273149e-03
2.2800000000e+01 -3.1136725708e-03
2.3000000000e+01 -3.0620520378e-03
2.3200000000e+01 -3.0074782980e-03
2.3400000000e+01 -2.9487356705e-03
2.3600000000e+01 -2.8846080359e-03
2.3800000000e+01 -2.8138792746e-03
2.4000000000e+01 -2.7353332671e-03
2.4200000000e+01 -2.6477538938e-03
2.4400000000e+01 -2.5499250352e-03
2.4600000000e+01 -2.4406314600e-03
2.4800000000e+01 -2.3194159043e-03
2.5000000000e+01 -2.1879603342e-03
2.5200000000e+01 -2.0483214246e-03
2.5400000000e+01 -1.9025558508e-03
2.5600000000e+01 -1.7527202879e-03
2.5800000000e+01 -1.6008714112e-03
2.6000000000e+01 -1.4490658957e-03
2.6200000000e+01 -1.2993604167e-03
2.6400000000e+01 -1.1537980443e-03
2.6600000000e+01 -1.0139279439e-03
2.6800000000e+01 -8.8067721951e-04
