# greville_time_s control_water_level_m
0.0000000000e+00 6.4063725545e-03
5.8039215686e-01 -3.0649455297e-04
1.7411764706e+00 6.9188542681e-04
3.4823529412e+00 1.2570839153e-04
5.2235294118e+00 -6.9589714512e-03
6.9647058824e+00 -2.8857313365e-03
8.7058823529e+00 2.4429567584e-03
1.0447058824e+01 1.2456560410e-02
1.2188235294e+01 1.5839656129e-02
1.3929411765e+01 1.3145639972e-02
1.5670588235e+01 -1.0602155185e-02
1.7411764706e+01 -6.7918681037e-03
1.9152941176e+01 -4.2057467889e-03
2.0894117647e+01 -3.4983423806e-03
2.2635294118e+01 -3.1293726883e-03
2.4376470588e+01 -2.6125125052e-03
2.6117647059e+01 -1.1453179877e-03
2.7858823529e+01 -8.4864874165e-05
2.9019607843e+01 -3.9435462158e-05
2.9600000000e+01 2.5427326267e-06
