timestamp, utilization.gpu [%], memory.total [MiB], memory.used [MiB]
2026/07/22 00:19:41.557, 0 %, 81920 MiB, 0 MiB
2026/07/22 00:29:41.569, 36 %, 81920 MiB, 22917 MiB
2026/07/22 00:39:41.578, 34 %, 81920 MiB, 22917 MiB
2026/07/22 00:49:41.587, 35 %, 81920 MiB, 22955 MiB
2026/07/22 00:59:41.596, 32 %, 81920 MiB, 23205 MiB
2026/07/22 01:09:41.605, 30 %, 81920 MiB, 23305 MiB
2026/07/22 01:19:41.614, 35 %, 81920 MiB, 23367 MiB
2026/07/22 01:29:41.623, 35 %, 81920 MiB, 23393 MiB
2026/07/22 01:39:41.632, 35 %, 81920 MiB, 23429 MiB
2026/07/22 01:49:41.641, 35 %, 81920 MiB, 23543 MiB
2026/07/22 01:59:41.650, 37 %, 81920 MiB, 23579 MiB
2026/07/22 02:09:41.659, 37 %, 81920 MiB, 23605 MiB
2026/07/22 02:19:41.668, 17 %, 81920 MiB, 23655 MiB
2026/07/22 02:29:41.678, 35 %, 81920 MiB, 23679 MiB
2026/07/22 02:39:41.687, 36 %, 81920 MiB, 23679 MiB
2026/07/22 02:49:41.696, 37 %, 81920 MiB, 23693 MiB
2026/07/22 02:59:41.705, 37 %, 81920 MiB, 23705 MiB
2026/07/22 03:09:41.714, 37 %, 81920 MiB, 23729 MiB
2026/07/22 03:19:41.723, 37 %, 81920 MiB, 23729 MiB
2026/07/22 03:29:41.733, 34 %, 81920 MiB, 23729 MiB
2026/07/22 03:39:41.742, 35 %, 81920 MiB, 23743 MiB
2026/07/22 03:49:41.751, 34 %, 81920 MiB, 23743 MiB
2026/07/22 03:59:41.760, 31 %, 81920 MiB, 23743 MiB
2026/07/22 04:09:41.770, 0 %, 81920 MiB, 23767 MiB
2026/07/22 04:19:41.779, 36 %, 81920 MiB, 23767 MiB
2026/07/22 04:29:41.787, 36 %, 81920 MiB, 23767 MiB
2026/07/22 04:39:41.797, 37 %, 81920 MiB, 23781 MiB
2026/07/22 04:49:41.806, 37 %, 81920 MiB, 23781 MiB
2026/07/22 04:59:41.814, 37 %, 81920 MiB, 23781 MiB
2026/07/22 05:09:41.824, 37 %, 81920 MiB, 23781 MiB
2026/07/22 05:19:41.833, 37 %, 81920 MiB, 23781 MiB
2026/07/22 05:29:41.842, 37 %, 81920 MiB, 23781 MiB
