Time (sec)	Gage 1 (m)	Gage 2 (m)	Gage 3 (m)
0	0.00234	-0.00115	0.00045
0.2	0.00234	0.00055	0.00105
0.4	0.00234	0.00075	0.00105
0.6	0.00234	0.00065	0.00115
0.8	0.00234	0.00075	0.00115
1	0.00234	0.00065	0.00125
1.2	0.00244	0.00075	0.00145
1.4	0.00254	0.00075	0.00145
1.6	0.00254	0.00075	0.00145
1.8	0.00264	0.00075	0.00145
2	0.00264	0.00045	0.00155
2.2	0.00284	0.00075	0.00155
2.4	0.00294	0.00095	0.00155
2.6	0.00314	0.00095	0.00175
2.8	0.00324	0.00235	0.00185
3	0.00404	0.00335	0.00165
3.2	0.00434	0.00335	0.00165
3.4	0.00424	0.00335	0.00175
3.6	0.00424	0.00355	0.00255
3.8	0.00474	0.00365	0.00285
4	0.00494	0.00355	0.00295
4.2	0.00484	0.00365	0.00305
4.4	0.00494	0.00365	0.00315
4.6	0.00504	0.00375	0.00375
4.8	0.00514	0.00425	0.00355
5	0.00514	0.00465	0.00355
5.2	0.00504	0.00495	0.00375
5.4	0.00484	0.00495	0.00385
5.6	0.00474	0.00505	0.00395
5.8	0.00454	0.00495	0.00405
6	0.00434	0.00475	0.00395
6.2	0.00424	0.00445	0.00405
6.4	0.00414	0.00425	0.00395
6.6	0.00424	0.00405	0.00385
6.8	0.00414	0.00395	0.00375
7	0.00404	0.00305	0.00365
7.2	0.00424	0.00265	0.00365
7.4	0.00434	0.00275	0.00355
7.6	0.00404	0.00295	0.00345
7.8	0.00374	0.00365	0.00345
8	0.00364	0.00375	0.00305
8.2	0.00354	0.00355	0.00265
8.4	0.00354	0.00365	0.00215
8.6	0.00334	0.00365	0.00205
8.8	0.00284	0.00285	0.00195
9	0.00274	0.00265	0.00175
9.2	0.00254	0.00255	0.00165
9.4	0.00254	0.00215	0.00155
9.6	0.00164	0.00095	0.00145
9.8	0.00134	0.00015	0.00145
10	-0.00066	-0.00015	0.00125
10.2	-0.00196	-0.00075	0.00115
10.4	-0.00266	-0.00185	0.00115
10.6	-0.00296	-0.00205	0.00125
10.8	-0.00386	-0.00215	0.00115
11	-0.00436	-0.00235	0.00085
11.2	-0.00486	-0.00245	0.00035
11.4	-0.00496	-0.00245	0.00015
11.6	-0.00516	-0.00265	0.00005
11.8	-0.00556	-0.00285	-0.00025
12	-0.00596	-0.00325	-0.00075
12.2	-0.00636	-0.00375	-0.00115
12.4	-0.00656	-0.00405	-0.00145
12.6	-0.00716	-0.00435	-0.00165
12.8	-0.00746	-0.00455	-0.00195
13	-0.00796	-0.00465	-0.00205
13.2	-0.00836	-0.00485	-0.00215
13.4	-0.00856	-0.00495	-0.00235
13.6	-0.00886	-0.00525	-0.00235
13.8	-0.00896	-0.00555	-0.00245
14	-0.00896	-0.00605	-0.00245
14.2	-0.00886	-0.00695	-0.00245
14.4	0.00474	-0.00725	-0.00255
14.6	0.00504	0.00045	-0.00255
14.8	0.00574	0.00485	0.00365
15	0.00684	0.00805	0.00785
15.2	0.00854	0.01185	0.00965
15.4	0.00934	0.01335	0.01065
15.6	0.01094	0.01425	0.01245
15.8	0.01234	0.01615	0.01435
16	0.01234	0.01755	0.01645
16.2	0.01254	0.01805	0.01935
16.4	0.01264	0.01815	0.02535
16.6	0.01294	0.01825	0.02685
16.8	0.01304	0.01965	0.04185
17	0.01304	0.03895	0.03435
17.2	0.01304	0.03235	0.03685
17.4	0.01964	0.03325	0.03585
17.6	0.03114	0.03275	0.03815
17.8	0.02914	0.03265	0.03165
18	0.02694	0.02755	0.03035
18.2	0.03214	0.02465	0.02655
18.4	0.03614	0.02445	0.02445
18.6	0.02884	0.02265	0.02105
18.8	0.03314	0.02235	0.01925
19	0.03034	0.02925	0.01825
19.2	0.03004	0.02525	0.01635
19.4	0.03124	0.02255	0.01505
19.6	0.02794	0.02325	0.01425
19.8	0.02924	0.01995	0.01415
20	0.02314	0.01665	0.01685
20.2	0.02024	0.01955	0.01285
20.4	0.02334	0.01575	0.01055
20.6	0.01954	0.01895	0.01105
20.8	0.01894	0.01435	0.01045
21	0.01774	0.01395	0.01005
21.2	0.01834	0.01795	0.01125
21.4	0.01394	0.01275	0.01045
21.6	0.01004	0.01125	0.00975
21.8	0.00734	0.00935	0.00875
22	0.00684	0.00865	0.00875
22.2	0.00524	0.00805	0.00645
22.4	0.00424	0.00745	0.00475
22.6	0.00304	0.00665	0.00395
22.8	0.00154	0.00365	0.00355
23	0.00094	0.00125	0.00305
23.2	0.00014	0.00085	0.00185
23.4	-0.00076	0.00055	0.00095
23.6	-0.00116	0.00045	0.00035
23.8	-0.00216	-0.00025	-0.00025
24	-0.00516	-0.00175	-0.00065
24.2	-0.00616	-0.00225	-0.00135
24.4	-0.00696	-0.00335	-0.00225
24.6	-0.00756	-0.00375	-0.00265
24.8	-0.00776	-0.00445	-0.00285
25	-0.00796	-0.00465	-0.00305
25.2	-0.00796	-0.00515	-0.00315
25.4	-0.00816	-0.00535	-0.00315
25.6	-0.00826	-0.00555	-0.00325
25.8	-0.00856	-0.00565	-0.00325
26	-0.00896	-0.00565	-0.00335
26.2	-0.00916	-0.00575	-0.00335
26.4	-0.00916	-0.00585	-0.00335
26.6	-0.00926	-0.00585	-0.00335
26.8	-0.00936	-0.00585	-0.00335
27	-0.00936	-0.00585	-0.00335
27.2	-0.00936	-0.00585	-0.00345
27.4	-0.00946	-0.00585	-0.00345
27.6	-0.00946	-0.00595	-0.00345
27.8	-0.00946	-0.00585	-0.00345
28	-0.00946	-0.00585	-0.00345
28.2	-0.00966	-0.00585	-0.00355
28.4	-0.00966	-0.00585	-0.00355
28.6	-0.00966	-0.00585	-0.00355
28.8	-0.00966	-0.00585	-0.00355
29	-0.00976	-0.00595	-0.00355
29.2	-0.00976	-0.00605	-0.00355
29.4	-0.00996	-0.00585	-0.00355
29.6	-0.00996	-0.00585	-0.00365
29.8	-0.01006	-0.00585	-0.00355
