# time_s gauge_0_train_simulated gauge_0_train_observed gauge_1_train_simulated gauge_1_train_observed gauge_2_test_simulated gauge_2_test_observed gauge_3_train_simulated gauge_3_train_observed gauge_4_train_simulated gauge_4_train_observed gauge_5_train_simulated gauge_5_train_observed
2.0000000000e-01 -2.0759487879e-12 0.0000000000e+00 -7.7890360881e-06 -7.4378040000e-06 -8.3360123899e-09 0.0000000000e+00 -1.6441015216e-13 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 -2.5292401461e-04 -2.5282560000e-04
4.0000000000e-01 -1.4627045651e-09 0.0000000000e+00 -2.2169023707e-05 -2.1877360000e-05 -2.0819964625e-07 0.0000000000e+00 -3.5738311477e-09 0.0000000000e+00 -4.3964831775e-14 0.0000000000e+00 -4.0187975304e-04 -4.0134900000e-04
6.0000000000e-01 -6.4461859539e-08 -5.5511151231e-22 -3.5981620523e-05 -3.6318000000e-05 -1.4414690420e-06 -1.3180020000e-06 -1.4424473773e-06 -5.5511151231e-22 -3.2236727177e-11 0.0000000000e+00 -1.0823276441e-04 -1.0809590000e-04
8.0000000000e-01 -1.0082545551e-06 -1.0000000000e-06 -4.8418236809e-05 -4.8758610000e-05 -6.0624988693e-06 -6.0000000000e-06 1.1403348589e-05 -1.0000000000e-06 -3.1255170119e-09 0.0000000000e+00 1.5314666131e-04 1.5262050000e-04
1.0000000000e+00 -8.7519460886e-06 -8.3975290000e-06 -5.7479321711e-05 -5.7198760000e-05 -1.8454655065e-05 -1.8397530000e-05 6.6537290794e-05 2.3975290000e-06 -1.0242374845e-07 0.0000000000e+00 1.6281175081e-04 1.6240990000e-04
1.2000000000e+00 -3.5891672409e-05 -3.5915690000e-05 -6.0428301151e-05 -6.0000000000e-05 -3.1600219248e-05 -3.1638560000e-05 5.7958990584e-05 2.5277130000e-05 -1.7976784203e-06 -2.0000000000e-06 4.8156074579e-05 4.7614370000e-05
1.4000000000e+00 -6.8924602533e-05 -6.9157080000e-05 -5.8862143765e-05 -5.9000000000e-05 -3.8976186196e-05 -3.9000000000e-05 -3.8115510408e-05 3.7000000000e-05 -2.5198677110e-05 -2.4392690000e-05 -3.2895535153e-05 -3.3235610000e-05
1.6000000000e+00 -8.4100748315e-05 -8.4000000000e-05 -5.3986177786e-05 -5.4000000000e-05 -4.1864912455e-05 -4.2000000000e-05 -7.1202906386e-05 3.9000000000e-05 -7.8607579377e-05 -7.4518990000e-05 -4.8197195562e-05 -4.8000000000e-05
1.8000000000e+00 -7.4295224313e-05 -7.4079970000e-05 -4.5242272214e-05 -4.5039990000e-05 -3.9241761943e-05 -3.9039990000e-05 -7.0837180946e-05 3.2039990000e-05 -4.6202362757e-05 -6.8039990000e-05 -3.4966474914e-05 -3.5039990000e-05
2.0000000000e+00 -5.6148978753e-05 -5.6196520000e-05 -3.4635986481e-05 -3.4598260000e-05 -2.0711209436e-05 -2.0794780000e-05 -2.9300509867e-05 3.0000000000e-05 5.3654729592e-05 -4.3843470000e-06 -1.9330122534e-05 -1.9598260000e-05
2.2000000000e+00 -2.6467586442e-05 -2.6468730000e-05 -2.4123736358e-05 -2.4156240000e-05 9.9595967941e-06 9.6875110000e-06 2.9139769111e-05 3.1000000000e-05 9.4490831092e-05 6.7531270000e-05 -1.6916317719e-05 -1.7000000000e-05
2.4000000000e+00 -6.0438849393e-06 -5.7149640000e-06 -1.4793064238e-05 -1.4714960000e-05 2.7796026403e-05 2.8000000000e-05 7.2430138848e-05 2.1429930000e-05 2.2243972528e-05 8.2000000000e-05 -1.5280127484e-05 -1.6000000000e-05
2.6000000000e+00 1.3221905651e-06 1.0000000000e-06 -7.6916636779e-06 -8.0000000000e-06 3.0089615477e-05 3.0000000000e-05 9.7105644891e-05 2.0000000000e-06 -5.2112615195e-05 6.3828200000e-05 -1.7580593836e-05 -1.5000000000e-05
2.8000000000e+00 8.3206596755e-06 8.1621960000e-06 -2.7834326695e-06 -3.0000000000e-06 2.4217809421e-05 2.4000000000e-05 1.2447639651e-04 1.1324390000e-05 -7.0651216572e-05 4.1837800000e-05 -2.5217467882e-05 -1.8000000000e-05
3.0000000000e+00 2.3696332573e-05 2.3600570000e-05 -5.4753288439e-07 -1.0000000000e-06 1.3145866772e-05 1.3399430000e-05 1.5594322239e-04 4.7402290000e-05 -4.3880994867e-05 3.2399430000e-05 -1.3582947550e-05 -2.1000000000e-05
3.2000000000e+00 4.4131958346e-05 4.4077780000e-05 -8.8577395374e-07 -1.0000000000e-06 -3.5901599901e-06 -4.0388900000e-06 1.5000339996e-04 6.9000000000e-05 2.2551085461e-05 3.6000000000e-05 2.0106454892e-05 -2.0961110000e-05
3.4000000000e+00 5.3728663207e-05 5.4000000000e-05 -2.4991564137e-06 -2.4770370000e-06 -1.7829417076e-05 -1.7477040000e-05 8.4864556037e-05 3.7614810000e-05 9.3206634448e-05 4.2477040000e-05 3.9373031190e-05 -8.5229630000e-06
3.6000000000e+00 5.4713290259e-05 5.5000000000e-05 -3.1474580479e-06 -3.0000000000e-06 -2.0901051973e-05 -2.1000000000e-05 -2.4437892764e-05 -4.3235670000e-05 1.5273621635e-04 5.1915070000e-05 2.0662635899e-05 1.0830150000e-05
3.8000000000e+00 4.9648128614e-05 4.9647300000e-05 -1.2416115474e-06 -1.0000000000e-06 -1.1862266226e-05 -1.1647300000e-05 -1.5659091493e-04 -1.4852700000e-04 1.8401528481e-04 6.1352700000e-05 -3.7565901633e-05 2.4352700000e-05
4.0000000000e+00 3.9808070041e-05 4.0210400000e-05 4.0868325100e-06 4.0000000000e-06 7.7830259960e-07 7.8960310000e-07 -3.0005183146e-04 -2.5210640000e-04 1.8894736321e-04 6.5000000000e-05 -8.1238791753e-05 2.6000000000e-05
4.2000000000e+00 2.9200731755e-05 2.9000000000e-05 1.3362851454e-05 1.3228320000e-05 1.0871677602e-05 1.1000000000e-05 -4.4000283909e-04 -3.4059830000e-04 1.4930476128e-04 5.4543350000e-05 -9.8936678144e-05 2.0000000000e-05
4.4000000000e+00 1.9408304183e-05 1.9332740000e-05 2.4527318866e-05 2.4667260000e-05 1.7974801512e-05 1.8000000000e-05 -5.9150687488e-04 -4.4133980000e-04 4.5585588349e-05 -1.3338060000e-05 -9.0459652313e-05 5.6654850000e-06
4.6000000000e+00 9.9947678991e-06 9.8950020000e-06 3.5854185376e-05 3.6105000000e-05 2.2830127018e-05 2.3000000000e-05 -7.9472483045e-04 -6.2210000000e-04 -8.1728094316e-05 -1.1194500000e-04 -7.1096107740e-05 -1.9314990000e-05
4.8000000000e+00 -3.2278658743e-06 -3.0844010000e-06 4.4485289548e-05 4.4542200000e-05 2.8342811986e-05 2.8542200000e-05 -1.0124720131e-03 -8.7201280000e-04 -2.1365230302e-04 -2.1033760000e-04 -3.4431073611e-05 -4.4084400000e-05
5.0000000000e+00 -2.3442336610e-05 -2.2955180000e-05 4.9053303949e-05 4.9000000000e-05 3.4660862014e-05 3.4977590000e-05 -1.2052364787e-03 -1.1524400000e-03 -3.2809605901e-04 -2.8188790000e-04 2.3738534452e-05 -4.8022410000e-05
5.2000000000e+00 -3.8605094233e-05 -3.8410660000e-05 4.8649495638e-05 4.8589340000e-05 4.1517204320e-05 4.1410660000e-05 -1.3511363951e-03 -1.4150340000e-03 -4.5256372224e-04 -3.5087460000e-04 1.0011675882e-04 -2.1768030000e-05
5.4000000000e+00 -4.5074109666e-05 -4.5000000000e-05 4.3956425626e-05 4.4000000000e-05 4.8730814180e-05 4.8842080000e-05 -1.4971003637e-03 -1.6656840000e-03 -6.1289540085e-04 -4.5426290000e-04 1.7856022983e-04 1.6526230000e-05
5.6000000000e+00 -3.7962046816e-05 -4.2728340000e-05 3.6146478859e-05 3.6000000000e-05 5.6344757473e-05 5.6271660000e-05 -1.6537611845e-03 -1.8786180000e-03 -8.0651191566e-04 -6.1488980000e-04 2.2696766774e-04 5.2543310000e-05
5.8000000000e+00 -7.5494827938e-06 -2.5599890000e-05 2.7518784571e-05 2.7299940000e-05 6.3294189988e-05 6.3700060000e-05 -1.8438896365e-03 -2.0662010000e-03 -1.0275230136e-03 -8.5480140000e-04 2.0552206095e-04 5.1899830000e-05
6.0000000000e+00 1.3384223128e-05 -4.7452010000e-06 1.8543939593e-05 1.8872600000e-05 6.6768576303e-05 6.9000000000e-05 -2.0732563018e-03 -2.2500380000e-03 -1.2490213047e-03 -1.1545670000e-03 1.0921899493e-04 -7.0191960000e-06
6.2000000000e+00 2.3829555746e-05 1.1552520000e-05 8.5305236280e-06 9.4474780000e-06 6.4532753951e-05 6.9000000000e-05 -2.3164084046e-03 -2.4257350000e-03 -1.4445045534e-03 -1.4683660000e-03 -5.4669771270e-05 -1.1107770000e-04
6.4000000000e+00 2.2307437517e-05 2.4975440000e-05 -2.2001495408e-06 -1.9754430000e-06 5.7193421248e-05 5.9024560000e-05 -2.5339470100e-03 -2.5836810000e-03 -1.6080695071e-03 -1.7524110000e-03 -2.7558877856e-04 -2.4768080000e-04
6.6000000000e+00 -8.5029894079e-06 3.6396680000e-05 -1.2149145327e-05 -1.4396680000e-05 4.8260442094e-05 4.3206650000e-05 -2.7094700162e-03 -2.7169670000e-03 -1.7669341023e-03 -1.9969340000e-03 -5.3348830306e-04 -4.0795020000e-04
6.8000000000e+00 -2.7720825532e-05 4.6816430000e-05 -1.9150760436e-05 -2.4816430000e-05 4.2720215979e-05 2.8183570000e-05 -2.8563390321e-03 -2.8303480000e-03 -1.9592810551e-03 -2.2333290000e-03 -8.1494397199e-04 -6.0051220000e-04
7.0000000000e+00 -2.6672978243e-05 5.5234520000e-05 -1.9087688504e-05 -3.1000000000e-05 4.2765500681e-05 2.0000000000e-05 -2.9877395961e-03 -2.9276420000e-03 -2.1974716959e-03 -2.4399870000e-03 -1.1162347208e-03 -8.4362840000e-04
7.2000000000e+00 -1.6944478592e-05 6.1000000000e-05 -1.1581631295e-05 -2.9000000000e-05 4.6602599423e-05 2.2651790000e-05 -3.1031418941e-03 -3.0002590000e-03 -2.4459523459e-03 -2.6191250000e-03 -1.4254629800e-03 -1.1505540000e-03
7.4000000000e+00 2.8159836985e-05 6.4068440000e-05 -2.8130196420e-06 -1.7863110000e-05 4.9680475686e-05 4.3205330000e-05 -3.1831445152e-03 -3.0533420000e-03 -2.6760713899e-03 -2.7738900000e-03 -1.7199378810e-03 -1.5101900000e-03
7.6000000000e+00 1.0408034035e-04 6.9000000000e-05 8.9151227847e-07 -3.0424110000e-08 4.4741934980e-05 7.0454360000e-05 -3.2300790985e-03 -3.1084240000e-03 -2.8905853319e-03 -2.9223020000e-03 -1.9753625600e-03 -1.8869980000e-03
7.8000000000e+00 1.5589525561e-04 7.5000000000e-05 -9.9054057224e-07 1.9800910000e-05 3.2415619904e-05 9.3900460000e-05 -3.2369502555e-03 -3.1685020000e-03 -3.0919421892e-03 -3.0716060000e-03 -2.2054867756e-03 -2.2598150000e-03
8.0000000000e+00 1.8480388316e-04 7.8000000000e-05 -7.8825595394e-06 3.5314800000e-05 2.1061560896e-05 1.1131480000e-04 -3.1782796055e-03 -3.1830560000e-03 -3.2877184317e-03 -3.2240920000e-03 -2.4398537739e-03 -2.6310740000e-03
8.2000000000e+00 1.9636305453e-04 7.4272180000e-05 -1.6806715777e-05 4.7727820000e-05 2.0700030344e-05 1.2172780000e-04 -3.0400388817e-03 -3.0880830000e-03 -3.4788473921e-03 -3.3630060000e-03 -2.7009471127e-03 -3.0012900000e-03
8.4000000000e+00 1.8632604362e-04 6.2714060000e-05 -1.9623126990e-05 5.7000000000e-05 4.0584085738e-05 1.2814300000e-04 -2.8096278588e-03 -2.8277110000e-03 -3.6356439172e-03 -3.4742870000e-03 -2.9729523734e-03 -3.3315740000e-03
