# epoch total_loss train_loss test_loss first_derivative second_derivative amplitude gradient_norm learning_rate elapsed_seconds
1.0000000000e+00 1.0960272131e-04 1.0960272131e-04 1.6156851266e-04 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.1679141800e-04 2.0000000000e-02 8.3810222021e+01
2.0000000000e+00 1.0263426748e-04 1.0263426683e-04 1.4789624555e-04 4.1636732424e-10 1.7107768369e-11 6.5521419372e-08 1.0954923264e-04 2.0000000000e-02 8.2863062465e+01
3.0000000000e+00 9.6435686730e-05 9.6435684172e-05 1.3688780964e-04 1.6241315588e-09 6.7664732874e-11 2.5687213073e-07 1.0479706999e-04 2.0000000000e-02 8.3115528333e+01
4.0000000000e+00 9.0777802825e-05 9.0777797219e-05 1.2778826760e-04 3.5491523466e-09 1.4935520737e-10 5.6381939038e-07 1.0139226411e-04 2.0000000000e-02 8.4024695739e+01
5.0000000000e+00 8.5498077656e-05 8.5498067984e-05 1.2018465130e-04 6.1120614099e-09 2.5846614852e-10 9.7525901324e-07 9.8230424702e-05 2.0000000000e-02 8.3953198656e+01
6.0000000000e+00 8.0556624655e-05 8.0556610050e-05 1.1343358654e-04 9.2289217117e-09 3.8976738479e-10 1.4790729080e-06 9.4517469497e-05 2.0000000000e-02 8.4245779740e+01
7.0000000000e+00 7.5930896788e-05 7.5930876528e-05 1.0711284186e-04 1.2823091498e-08 5.3740555801e-10 2.0630392190e-06 9.0523395575e-05 2.0000000000e-02 8.4483757948e+01
8.0000000000e+00 7.1628132031e-05 7.1628105497e-05 1.0106053779e-04 1.6849219252e-08 6.9677109551e-10 2.7169173079e-06 8.6287949781e-05 2.0000000000e-02 8.3404097858e+01
9.0000000000e+00 6.7640124005e-05 6.7640090645e-05 9.5277798186e-05 2.1276529594e-08 8.6532036947e-10 3.4306584358e-06 8.2739542126e-05 2.0000000000e-02 8.4824486689e+01
1.0000000000e+01 6.3879309391e-05 6.3879268688e-05 8.9780809366e-05 2.6083976236e-08 1.0424740928e-09 4.1948506251e-06 8.0268639018e-05 2.0000000000e-02 8.4325053021e+01
