# time_s boundary_water_level_m
2.0000000000e-01 1.2976298635e-04
4.0000000000e-01 9.0364524742e-07
6.0000000000e-01 -6.4561102268e-05
8.0000000000e-01 -7.9552972608e-05
1.0000000000e+00 -5.6993682182e-05
1.2000000000e+00 -9.8049473957e-06
1.4000000000e+00 4.9091515341e-05
1.6000000000e+00 1.0677398962e-04
1.8000000000e+00 1.5032075904e-04
2.0000000000e+00 1.6688064556e-04
2.2000000000e+00 1.4932905918e-04
2.4000000000e+00 1.0040380432e-04
2.6000000000e+00 2.3817807980e-05
2.8000000000e+00 -7.6716002822e-05
3.0000000000e+00 -1.9748470108e-04
3.2000000000e+00 -3.3477535977e-04
3.4000000000e+00 -4.8487505189e-04
3.6000000000e+00 -6.4407085043e-04
3.8000000000e+00 -8.0875680430e-04
4.0000000000e+00 -9.7700466596e-04
4.2000000000e+00 -1.1482182521e-03
4.4000000000e+00 -1.3218380723e-03
4.6000000000e+00 -1.4973046360e-03
4.8000000000e+00 -1.6740584526e-03
5.0000000000e+00 -1.8515400317e-03
5.2000000000e+00 -2.0291898827e-03
5.4000000000e+00 -2.2064485152e-03
5.6000000000e+00 -2.3819757790e-03
5.8000000000e+00 -2.5499747101e-03
6.0000000000e+00 -2.7030692145e-03
6.2000000000e+00 -2.8338813482e-03
6.4000000000e+00 -2.9350331667e-03
6.6000000000e+00 -2.9991467258e-03
6.8000000000e+00 -3.0188440812e-03
7.0000000000e+00 -2.9867472888e-03
7.2000000000e+00 -2.8954783595e-03
7.4000000000e+00 -2.7376462318e-03
7.6000000000e+00 -2.5058286786e-03
7.8000000000e+00 -2.1925989275e-03
8.0000000000e+00 -1.7905302061e-03
8.2000000000e+00 -1.2921957422e-03
8.4000000000e+00 -6.9016876332e-04
8.6000000000e+00 2.2977502910e-05
8.8000000000e+00 8.5466982882e-04
9.0000000000e+00 1.8117142825e-03
9.2000000000e+00 2.8844573575e-03
9.4000000000e+00 4.0454730378e-03
9.6000000000e+00 5.2664515311e-03
9.8000000000e+00 6.5190830452e-03
1.0000000000e+01 7.7750577878e-03
1.0200000000e+01 9.0060659668e-03
1.0400000000e+01 1.0183797790e-02
1.0600000000e+01 1.1279943465e-02
1.0800000000e+01 1.2268284794e-02
1.1000000000e+01 1.3139941823e-02
1.1200000000e+01 1.3894607568e-02
1.1400000000e+01 1.4532035972e-02
1.1600000000e+01 1.5051980978e-02
1.1800000000e+01 1.5454196530e-02
1.2000000000e+01 1.5738436573e-02
1.2200000000e+01 1.5904455049e-02
1.2400000000e+01 1.5952005984e-02
1.2600000000e+01 1.5881316947e-02
1.2800000000e+01 1.5694204255e-02
1.3000000000e+01 1.5392817037e-02
1.3200000000e+01 1.4979304423e-02
1.3400000000e+01 1.4455815544e-02
1.3600000000e+01 1.3824499529e-02
1.3800000000e+01 1.3087505508e-02
1.4000000000e+01 1.2246982610e-02
1.4200000000e+01 1.1305273711e-02
1.4400000000e+01 1.0274860061e-02
1.4600000000e+01 9.1831376205e-03
1.4800000000e+01 8.0586962073e-03
1.5000000000e+01 6.9301256396e-03
1.5200000000e+01 5.8260157352e-03
1.5400000000e+01 4.7749563121e-03
1.5600000000e+01 3.8055371885e-03
1.5800000000e+01 2.9463481824e-03
1.6000000000e+01 2.2232054170e-03
1.6200000000e+01 1.6272736288e-03
1.6400000000e+01 1.1261630303e-03
1.6600000000e+01 6.8703370774e-04
1.6800000000e+01 2.7704574734e-04
1.7000000000e+01 -1.3664076470e-04
1.7200000000e+01 -5.8686574215e-04
1.7400000000e+01 -1.1064690988e-03
1.7600000000e+01 -1.7282907484e-03
1.7800000000e+01 -2.4759787817e-03
1.8000000000e+01 -3.3293024522e-03
1.8200000000e+01 -4.2549524137e-03
1.8400000000e+01 -5.2196170758e-03
1.8600000000e+01 -6.1899848481e-03
1.8800000000e+01 -7.1327441404e-03
1.9000000000e+01 -8.0145833621e-03
1.9200000000e+01 -8.8021909230e-03
1.9400000000e+01 -9.4623196917e-03
1.9600000000e+01 -9.9707921285e-03
1.9800000000e+01 -1.0321773326e-02
2.0000000000e+01 -1.0511641134e-02
2.0200000000e+01 -1.0536773405e-02
2.0400000000e+01 -1.0393547989e-02
2.0600000000e+01 -1.0078342737e-02
2.0800000000e+01 -9.5875354999e-03
2.1000000000e+01 -8.9175041294e-03
2.1200000000e+01 -8.0658748845e-03
2.1400000000e+01 -7.0553791942e-03
2.1600000000e+01 -5.9319990255e-03
2.1800000000e+01 -4.7425931426e-03
2.2000000000e+01 -3.5340203097e-03
2.2200000000e+01 -2.3531392909e-03
2.2400000000e+01 -1.2468088504e-03
2.2600000000e+01 -2.6188775229e-04
2.2800000000e+01 5.5476523916e-04
2.3000000000e+01 1.1633577990e-03
2.3200000000e+01 1.5725506100e-03
2.3400000000e+01 1.8113280933e-03
2.3600000000e+01 1.9087442011e-03
2.3800000000e+01 1.8938528860e-03
2.4000000000e+01 1.7957081003e-03
2.4200000000e+01 1.6433637964e-03
2.4400000000e+01 1.4658739267e-03
2.4600000000e+01 1.2922843038e-03
2.4800000000e+01 1.1446945395e-03
2.5000000000e+01 1.0255998215e-03
2.5200000000e+01 9.3406140943e-04
2.5400000000e+01 8.6914056269e-04
2.5600000000e+01 8.2989854082e-04
2.5800000000e+01 8.1539660333e-04
2.6000000000e+01 8.2469600972e-04
2.6200000000e+01 8.5685801950e-04
2.6400000000e+01 9.1084087928e-04
2.6600000000e+01 9.8186313712e-04
2.6800000000e+01 1.0604332790e-03
2.7000000000e+01 1.1367594619e-03
2.7200000000e+01 1.2010498426e-03
2.7400000000e+01 1.2435125780e-03
2.7600000000e+01 1.2543558249e-03
2.7800000000e+01 1.2237877404e-03
2.8000000000e+01 1.1420164811e-03
2.8200000000e+01 1.0045565497e-03
2.8400000000e+01 8.6059085350e-04
2.8600000000e+01 7.9046479732e-04
2.8800000000e+01 8.7490763634e-04
2.9000000000e+01 1.1946486257e-03
2.9200000000e+01 1.8304170205e-03
2.9400000000e+01 2.8629420760e-03
2.9600000000e+01 4.3729530472e-03
2.9800000000e+01 6.4411791893e-03
