# greville_time_s control_water_level_m
0.0000000000e+00 1.2976298635e-04
5.8039215686e-01 -3.4866551856e-04
1.7411764706e+00 6.2254258584e-04
3.4823529412e+00 -6.6271021964e-04
5.2235294118e+00 -2.2400916788e-03
6.9647058824e+00 -3.7404277880e-03
8.7058823529e+00 -2.9545868816e-04
1.0447058824e+01 1.2995294194e-02
1.2188235294e+01 1.7451908604e-02
1.3929411765e+01 1.2912026880e-02
1.5670588235e+01 7.9373005944e-04
1.7411764706e+01 -3.8287507868e-05
1.9152941176e+01 -1.1253101697e-02
2.0894117647e+01 -1.0870405740e-02
2.2635294118e+01 3.4998377587e-03
2.4376470588e+01 9.3836016432e-04
2.6117647059e+01 6.1611006508e-04
2.7858823529e+01 1.9136693006e-03
2.9019607843e+01 -4.4878227999e-04
2.9600000000e+01 6.4411791893e-03
