timestamp, utilization.gpu [%], memory.total [MiB], memory.used [MiB]
2026/07/22 11:32:35.484, 0 %, 81920 MiB, 0 MiB
2026/07/22 11:42:35.497, 33 %, 81920 MiB, 22917 MiB
2026/07/22 11:52:35.507, 34 %, 81920 MiB, 22917 MiB
2026/07/22 12:02:35.516, 34 %, 81920 MiB, 22929 MiB
2026/07/22 12:12:35.525, 34 %, 81920 MiB, 23329 MiB
2026/07/22 12:22:35.534, 0 %, 81920 MiB, 23443 MiB
2026/07/22 12:32:35.544, 34 %, 81920 MiB, 23467 MiB
2026/07/22 12:42:35.553, 37 %, 81920 MiB, 23679 MiB
2026/07/22 12:52:35.562, 37 %, 81920 MiB, 23717 MiB
2026/07/22 13:02:35.571, 35 %, 81920 MiB, 23729 MiB
2026/07/22 13:12:35.580, 37 %, 81920 MiB, 23743 MiB
2026/07/22 13:22:35.589, 38 %, 81920 MiB, 23743 MiB
2026/07/22 13:32:35.598, 36 %, 81920 MiB, 23743 MiB
2026/07/22 13:42:35.607, 37 %, 81920 MiB, 23743 MiB
2026/07/22 13:52:35.616, 38 %, 81920 MiB, 23743 MiB
2026/07/22 14:02:35.625, 35 %, 81920 MiB, 23743 MiB
2026/07/22 14:12:35.635, 38 %, 81920 MiB, 23743 MiB
2026/07/22 14:22:35.644, 36 %, 81920 MiB, 23743 MiB
2026/07/22 14:32:35.652, 38 %, 81920 MiB, 23743 MiB
2026/07/22 14:42:35.661, 35 %, 81920 MiB, 23743 MiB
2026/07/22 14:52:35.670, 38 %, 81920 MiB, 23743 MiB
2026/07/22 15:02:35.680, 38 %, 81920 MiB, 23743 MiB
2026/07/22 15:12:35.688, 29 %, 81920 MiB, 23743 MiB
