Time Gauge0 Gauge1 Gauge2 Gauge3 Gauge4 Gauge5
0.000000e+00 0.000000e+00 -0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 -1.000000e-06
2.000000e-01 0.000000e+00 -7.437804e-06 0.000000e+00 0.000000e+00 0.000000e+00 -2.528256e-04
4.000000e-01 0.000000e+00 -2.187736e-05 0.000000e+00 0.000000e+00 0.000000e+00 -4.013490e-04
6.000000e-01 0.000000e+00 -3.631800e-05 -1.318002e-06 0.000000e+00 0.000000e+00 -1.080959e-04
8.000000e-01 -1.000000e-06 -4.875861e-05 -6.000000e-06 -1.000000e-06 0.000000e+00 1.526205e-04
1.000000e+00 -8.397529e-06 -5.719876e-05 -1.839753e-05 2.397529e-06 0.000000e+00 1.624099e-04
1.200000e+00 -3.591569e-05 -6.000000e-05 -3.163856e-05 2.527713e-05 -2.000000e-06 4.761437e-05
1.400000e+00 -6.915708e-05 -5.900000e-05 -3.900000e-05 3.700000e-05 -2.439269e-05 -3.323561e-05
1.600000e+00 -8.400000e-05 -5.400000e-05 -4.200000e-05 3.900000e-05 -7.451899e-05 -4.800000e-05
1.800000e+00 -7.407997e-05 -4.503999e-05 -3.903999e-05 3.203999e-05 -6.803999e-05 -3.503999e-05
2.000000e+00 -5.619652e-05 -3.459826e-05 -2.079478e-05 3.000000e-05 -4.384347e-06 -1.959826e-05
2.200000e+00 -2.646873e-05 -2.415624e-05 9.687511e-06 3.100000e-05 6.753127e-05 -1.700000e-05
2.400000e+00 -5.714964e-06 -1.471496e-05 2.800000e-05 2.142993e-05 8.200000e-05 -1.600000e-05
2.600000e+00 1.000000e-06 -8.000000e-06 3.000000e-05 2.000000e-06 6.382820e-05 -1.500000e-05
2.800000e+00 8.162196e-06 -3.000000e-06 2.400000e-05 1.132439e-05 4.183780e-05 -1.800000e-05
3.000000e+00 2.360057e-05 -1.000000e-06 1.339943e-05 4.740229e-05 3.239943e-05 -2.100000e-05
3.200000e+00 4.407778e-05 -1.000000e-06 -4.038890e-06 6.900000e-05 3.600000e-05 -2.096111e-05
3.400000e+00 5.400000e-05 -2.477037e-06 -1.747704e-05 3.761481e-05 4.247704e-05 -8.522963e-06
3.600000e+00 5.500000e-05 -3.000000e-06 -2.100000e-05 -4.323567e-05 5.191507e-05 1.083015e-05
3.800000e+00 4.964730e-05 -1.000000e-06 -1.164730e-05 -1.485270e-04 6.135270e-05 2.435270e-05
4.000000e+00 4.021040e-05 4.000000e-06 7.896031e-07 -2.521064e-04 6.500000e-05 2.600000e-05
4.200000e+00 2.900000e-05 1.322832e-05 1.100000e-05 -3.405983e-04 5.454335e-05 2.000000e-05
4.400000e+00 1.933274e-05 2.466726e-05 1.800000e-05 -4.413398e-04 -1.333806e-05 5.665485e-06
